indicator,level,name,year,grp,estimate,moe,share,sharemoe
total_pop,1_state,Connecticut,2017,total_pop,3594478,0,NA,NA
total_pop,2_counties,Fairfield County,2017,total_pop,947328,0,NA,NA
total_pop,2_counties,Hartford County,2017,total_pop,897417,0,NA,NA
total_pop,2_counties,Litchfield County,2017,total_pop,184454,0,NA,NA
total_pop,2_counties,Middlesex County,2017,total_pop,164110,0,NA,NA
total_pop,2_counties,New Haven County,2017,total_pop,862127,0,NA,NA
total_pop,2_counties,New London County,2017,total_pop,270772,0,NA,NA
total_pop,2_counties,Tolland County,2017,total_pop,151596,0,NA,NA
total_pop,2_counties,Windham County,2017,total_pop,116674,0,NA,NA
total_pop,3_regions,Greater New Haven,2017,total_pop,465633,122,NA,NA
total_pop,3_regions,Greater Waterbury,2017,total_pop,335631,323,NA,NA
total_pop,3_regions,Greater Bridgeport,2017,total_pop,325554,98,NA,NA
total_pop,3_regions,Lower Naugatuck Valley,2017,total_pop,140243,71,NA,NA
total_pop,4_towns,Bethel,2017,total_pop,19526,44,NA,NA
total_pop,4_towns,Bridgeport,2017,total_pop,147586,53,NA,NA
total_pop,4_towns,Brookfield,2017,total_pop,17064,34,NA,NA
total_pop,4_towns,Danbury,2017,total_pop,84573,38,NA,NA
total_pop,4_towns,Darien,2017,total_pop,21742,38,NA,NA
total_pop,4_towns,Easton,2017,total_pop,7607,24,NA,NA
total_pop,4_towns,Fairfield,2017,total_pop,61611,41,NA,NA
total_pop,4_towns,Greenwich,2017,total_pop,62782,59,NA,NA
total_pop,4_towns,Monroe,2017,total_pop,19766,38,NA,NA
total_pop,4_towns,New Canaan,2017,total_pop,20357,26,NA,NA
total_pop,4_towns,New Fairfield,2017,total_pop,14091,25,NA,NA
total_pop,4_towns,Newtown,2017,total_pop,28030,30,NA,NA
total_pop,4_towns,Norwalk,2017,total_pop,88537,46,NA,NA
total_pop,4_towns,Redding,2017,total_pop,9274,51,NA,NA
total_pop,4_towns,Ridgefield,2017,total_pop,25206,54,NA,NA
total_pop,4_towns,Shelton,2017,total_pop,41282,27,NA,NA
total_pop,4_towns,Sherman,2017,total_pop,3654,29,NA,NA
total_pop,4_towns,Stamford,2017,total_pop,128851,43,NA,NA
total_pop,4_towns,Stratford,2017,total_pop,52529,39,NA,NA
total_pop,4_towns,Trumbull,2017,total_pop,36455,40,NA,NA
total_pop,4_towns,Weston,2017,total_pop,10369,33,NA,NA
total_pop,4_towns,Westport,2017,total_pop,27777,39,NA,NA
total_pop,4_towns,Wilton,2017,total_pop,18659,27,NA,NA
total_pop,4_towns,Avon,2017,total_pop,18381,27,NA,NA
total_pop,4_towns,Berlin,2017,total_pop,20584,23,NA,NA
total_pop,4_towns,Bloomfield,2017,total_pop,20848,27,NA,NA
total_pop,4_towns,Bristol,2017,total_pop,60498,55,NA,NA
total_pop,4_towns,Burlington,2017,total_pop,9598,35,NA,NA
total_pop,4_towns,Canton,2017,total_pop,10339,26,NA,NA
total_pop,4_towns,East Granby,2017,total_pop,5220,141,NA,NA
total_pop,4_towns,East Hartford,2017,total_pop,50812,37,NA,NA
total_pop,4_towns,East Windsor,2017,total_pop,11409,32,NA,NA
total_pop,4_towns,Enfield,2017,total_pop,44608,75,NA,NA
total_pop,4_towns,Farmington,2017,total_pop,25596,32,NA,NA
total_pop,4_towns,Glastonbury,2017,total_pop,34688,34,NA,NA
total_pop,4_towns,Granby,2017,total_pop,11323,23,NA,NA
total_pop,4_towns,Hartford,2017,total_pop,124390,85,NA,NA
total_pop,4_towns,Hartland,2017,total_pop,2083,140,NA,NA
total_pop,4_towns,Manchester,2017,total_pop,58172,45,NA,NA
total_pop,4_towns,Marlborough,2017,total_pop,6420,18,NA,NA
total_pop,4_towns,New Britain,2017,total_pop,73069,33,NA,NA
total_pop,4_towns,Newington,2017,total_pop,30603,33,NA,NA
total_pop,4_towns,Plainville,2017,total_pop,17805,37,NA,NA
total_pop,4_towns,Rocky Hill,2017,total_pop,20015,28,NA,NA
total_pop,4_towns,Simsbury,2017,total_pop,24307,34,NA,NA
total_pop,4_towns,Southington,2017,total_pop,43817,27,NA,NA
total_pop,4_towns,South Windsor,2017,total_pop,25802,32,NA,NA
total_pop,4_towns,Suffield,2017,total_pop,15675,22,NA,NA
total_pop,4_towns,West Hartford,2017,total_pop,63360,32,NA,NA
total_pop,4_towns,Wethersfield,2017,total_pop,26395,29,NA,NA
total_pop,4_towns,Windsor,2017,total_pop,29037,30,NA,NA
total_pop,4_towns,Windsor Locks,2017,total_pop,12563,33,NA,NA
total_pop,4_towns,Barkhamsted,2017,total_pop,3693,17,NA,NA
total_pop,4_towns,Bethlehem,2017,total_pop,3490,25,NA,NA
total_pop,4_towns,Bridgewater,2017,total_pop,1681,116,NA,NA
total_pop,4_towns,Canaan,2017,total_pop,1128,133,NA,NA
total_pop,4_towns,Colebrook,2017,total_pop,1471,150,NA,NA
total_pop,4_towns,Cornwall,2017,total_pop,1364,151,NA,NA
total_pop,4_towns,Goshen,2017,total_pop,2914,15,NA,NA
total_pop,4_towns,Harwinton,2017,total_pop,5526,36,NA,NA
total_pop,4_towns,Kent,2017,total_pop,2853,22,NA,NA
total_pop,4_towns,Litchfield,2017,total_pop,8252,19,NA,NA
total_pop,4_towns,Morris,2017,total_pop,2367,166,NA,NA
total_pop,4_towns,New Hartford,2017,total_pop,6794,18,NA,NA
total_pop,4_towns,New Milford,2017,total_pop,27380,27,NA,NA
total_pop,4_towns,Norfolk,2017,total_pop,1442,154,NA,NA
total_pop,4_towns,North Canaan,2017,total_pop,3331,17,NA,NA
total_pop,4_towns,Plymouth,2017,total_pop,11888,36,NA,NA
total_pop,4_towns,Roxbury,2017,total_pop,2231,194,NA,NA
total_pop,4_towns,Salisbury,2017,total_pop,3658,20,NA,NA
total_pop,4_towns,Sharon,2017,total_pop,2733,22,NA,NA
total_pop,4_towns,Thomaston,2017,total_pop,7668,26,NA,NA
total_pop,4_towns,Torrington,2017,total_pop,35078,27,NA,NA
total_pop,4_towns,Warren,2017,total_pop,1467,108,NA,NA
total_pop,4_towns,Washington,2017,total_pop,3489,19,NA,NA
total_pop,4_towns,Watertown,2017,total_pop,21976,36,NA,NA
total_pop,4_towns,Winchester,2017,total_pop,10894,19,NA,NA
total_pop,4_towns,Woodbury,2017,total_pop,9686,28,NA,NA
total_pop,4_towns,Chester,2017,total_pop,4286,21,NA,NA
total_pop,4_towns,Clinton,2017,total_pop,13041,27,NA,NA
total_pop,4_towns,Cromwell,2017,total_pop,14021,23,NA,NA
total_pop,4_towns,Deep River,2017,total_pop,4547,47,NA,NA
total_pop,4_towns,Durham,2017,total_pop,7292,20,NA,NA
total_pop,4_towns,East Haddam,2017,total_pop,9072,32,NA,NA
total_pop,4_towns,East Hampton,2017,total_pop,12890,33,NA,NA
total_pop,4_towns,Essex,2017,total_pop,6588,20,NA,NA
total_pop,4_towns,Haddam,2017,total_pop,8303,19,NA,NA
total_pop,4_towns,Killingworth,2017,total_pop,6441,19,NA,NA
total_pop,4_towns,Middlefield,2017,total_pop,4402,18,NA,NA
total_pop,4_towns,Middletown,2017,total_pop,46747,35,NA,NA
total_pop,4_towns,Old Saybrook,2017,total_pop,10162,18,NA,NA
total_pop,4_towns,Portland,2017,total_pop,9391,44,NA,NA
total_pop,4_towns,Westbrook,2017,total_pop,6927,15,NA,NA
total_pop,4_towns,Ansonia,2017,total_pop,18953,27,NA,NA
total_pop,4_towns,Beacon Falls,2017,total_pop,6108,18,NA,NA
total_pop,4_towns,Bethany,2017,total_pop,5526,19,NA,NA
total_pop,4_towns,Branford,2017,total_pop,28149,36,NA,NA
total_pop,4_towns,Cheshire,2017,total_pop,29274,29,NA,NA
total_pop,4_towns,Derby,2017,total_pop,12700,21,NA,NA
total_pop,4_towns,East Haven,2017,total_pop,29006,29,NA,NA
total_pop,4_towns,Guilford,2017,total_pop,22377,35,NA,NA
